,Team,Squad Value
1,France,€1.52bn
2,England,€1.36bn
3,Spain,€1.22bn
4,Portugal,€1.01bn
5,Germany,€947.00m
6,Brazil,€928.20m
7,Argentina,€782.50m
8,Netherlands,€754.20m
9,Norway,€589.90m
10,Belgium,€547.50m
11,Ivory Coast,€522.10m
12,Morocco,€498.30m
13,Senegal,€478.10m
14,Turkiye,€473.70m
15,Sweden,€406.08m
16,Croatia,€387.30m
17,United States,€385.65m
18,Ecuador,€368.70m
19,Denmark,€365.00m
20,Uruguay,€359.30m
21,Switzerland,€332.50m
22,Italy,€315.70m
23,Colombia,€302.35m
24,Greece,€275.60m
25,Japan,€270.85m
26,Georgia,€260.00m
27,Algeria,€256.90m
28,Ukraine,€247.00m
29,Russia,€242.70m
30,Austria,€242.20m
31,Ghana,€234.60m
32,Poland,€231.60m
33,Hungary,€209.20m
34,Serbia,€206.00m
35,Cameroon,€198.70m
36,Canada,€198.65m
37,Mexico,€191.85m
38,Czechia,€188.18m
39,Wales,€180.65m
40,Nigeria,€171.85m
41,Scotland,€170.25m
42,Paraguay,€153.65m
43,Bosnia-Herzegovina,€151.60m
44,Kosovo,€147.48m
45,Republic of Ireland,€146.85m
46,Democratic Republic of the Congo,€143.90m
47,South Korea,€139.05m
48,Mali,€116.55m
49,Egypt,€116.48m
50,Burkina Faso,€110.55m
51,Slovenia,€100.50m
52,Iceland,€89.10m
53,Albania,€88.80m
54,Uzbekistan,€85.33m
55,Northern Ireland,€79.90m
56,Venezuela,€79.00m
57,The Gambia,€78.78m
58,Australia,€77.45m
59,Guinea,€74.13m
60,Tunisia,€69.95m
61,Montenegro,€68.55m
62,Chile,€66.80m
63,Israel,€62.90m
64,Slovakia,€59.85m
65,Romania,€56.15m
66,Haiti,€55.90m
67,Cape Verde,€54.50m
68,South Africa,€49.25m
69,Angola,€47.35m
70,Armenia,€42.43m
71,Finland,€41.85m
72,Saudi Arabia,€40.68m
73,Guinea-Bissau,€39.45m
74,Suriname,€35.93m
75,Gabon,€34.98m
76,Panama,€34.55m
77,New Zealand,€34.35m
78,North Macedonia,€33.90m
79,Iran,€32.05m
80,Bulgaria,€30.15m
81,Peru,€30.03m
82,United Arab Emirates,€29.05m
83,Costa Rica,€28.20m
84,Togo,€27.80m
85,Curaçao,€25.78m
86,Mauritania,€25.35m
87,Zimbabwe,€25.33m
88,Iraq,€21.20m
89,Honduras,€20.93m
90,Jordan,€20.30m
91,Qatar,€19.93m
92,Indonesia,€19.55m
93,Cyprus,€19.20m
94,Azerbaijan,€19.08m
95,Benin,€18.08m
96,Bolivia,€18.05m
97,Kazakhstan,€16.30m
98,Belarus,€15.38m
99,Malta,€14.95m
100,Lithuania,€14.73m
101,Luxembourg,€14.50m
102,China,€14.33m
103,Liberia,€14.33m
104,Zambia,€14.13m
105,Estonia,€13.93m
106,Guadeloupe,€13.70m
107,Sierra Leone,€13.33m
108,Dominican Republic,€12.83m
109,Niger,€11.00m
110,Burundi,€10.93m
111,Palestine,€10.28m
112,Libya,€10.13m
